,Reference,New,ratio
,0,0,0
data,,,
0,17276.774729317414,17276.774729317414,1.0
1,17415.049422328004,17415.049422328004,1.0
2,17383.688045003044,17383.688045003044,1.0
3,17334.035160468247,17334.035160468247,1.0
4,17253.95160339218,17253.95160339218,1.0
5,17200.406935149433,17200.406935149433,1.0
6,17137.637539966403,17137.637539966403,1.0
7,17120.041674981363,17120.041674981363,1.0
8,17061.847488312804,17061.847488312804,1.0
9,16974.69573960463,16974.69573960463,1.0
10,16874.29342715946,16874.29342715946,1.0
11,16749.20876508951,16749.20876508951,1.0
12,16639.257449232595,16639.257449232595,1.0
13,16489.680579699107,16489.680579699107,1.0
14,16359.609428199634,16359.609428199634,1.0
15,16155.037707350331,16155.037707350331,1.0
16,15838.71264579404,15838.71264579404,1.0
17,15247.378893188647,15247.378893188647,1.0
18,14310.983076123803,14310.983076123803,1.0
19,12926.725408940858,12926.725408940858,1.0
20,10863.6114386791,10863.6114386791,1.0
21,8248.311947377832,8248.311947377832,1.0
24,24975.312433287927,24975.312433287927,1.0
25,25077.483052836626,25077.483052836626,1.0
26,25124.210620585887,25124.210620585887,1.0
27,25125.177191758285,25125.177191758285,1.0
28,25081.988806058336,25081.988806058336,1.0
29,25042.9979804696,25042.9979804696,1.0
30,25047.657682750352,25047.657682750352,1.0
31,25062.474558098602,25062.474558098602,1.0
32,25039.37885929302,25039.37885929302,1.0
33,25012.279194427094,25012.279194427094,1.0
34,24881.84953634582,24881.84953634582,1.0
35,24646.606283036203,24646.606283036203,1.0
36,24333.827320540207,24333.827320540207,1.0
37,23828.615797770803,23828.615797770803,1.0
38,23047.077521625317,23047.077521625317,1.0
39,22027.181845210278,22027.181845210278,1.0
40,20678.313215918493,20678.313215918493,1.0
41,18989.87272173683,18989.87272173683,1.0
42,16849.84815976391,16849.84815976391,1.0
43,14295.436775351962,14295.436775351962,1.0
44,11492.294045090961,11492.294045090961,1.0
45,8418.248209976142,8418.248209976142,1.0
48,10422.501246123458,10422.501246123458,1.0
49,10572.230829094906,10572.230829094906,1.0
50,10664.611314324256,10664.611314324256,1.0
51,10715.911760055025,10715.911760055025,1.0
52,10743.609390554946,10743.609390554946,1.0
53,10735.747119538113,10735.747119538113,1.0
54,10723.196965435669,10723.196965435669,1.0
55,10680.627979618484,10680.627979618484,1.0
56,10614.195792114484,10614.195792114484,1.0
57,10509.60425274833,10509.60425274833,1.0
58,10338.022346680467,10338.022346680467,1.0
59,10044.972851265376,10044.972851265376,1.0
60,9635.802782726998,9635.802782726998,1.0
61,9115.91865301579,9115.91865301579,1.0
62,8570.871795200064,8570.871795200064,1.0
63,7954.4638607509405,7954.4638607509405,1.0
64,7276.406103717064,7276.406103717064,1.0
65,6519.017907323509,6519.017907323509,1.0
66,5697.019516860466,5697.019516860466,1.0
67,4809.702488895689,4809.702488895689,1.0
68,3861.5545734395687,3861.5545734395687,1.0
69,2848.752026862578,2848.752026862578,1.0
72,319599.5073639362,319599.5073639362,1.0
73,319503.38116188406,319503.38116188406,1.0
74,318698.264795161,318698.264795161,1.0
75,317382.6271191542,317382.6271191542,1.0
76,315184.29512677534,315184.29512677534,1.0
77,311222.33398297,311222.33398297,1.0
78,305869.34842281695,305869.34842281695,1.0
79,299951.1094875122,299951.1094875122,1.0
80,292825.45488341246,292825.45488341246,1.0
81,284216.2983752766,284216.2983752766,1.0
82,274125.29687626415,274125.29687626415,1.0
83,262473.4317650977,262473.4317650977,1.0
84,248922.61918069853,248922.61918069853,1.0
85,233812.5054110356,233812.5054110356,1.0
86,216815.59420034388,216815.59420034388,1.0
87,197932.851421041,197932.851421041,1.0
88,177566.3491240957,177566.3491240957,1.0
89,155868.4056440599,155868.4056440599,1.0
90,132733.23798543512,132733.23798543512,1.0
91,108981.51399825397,108981.51399825397,1.0
92,84898.99536159728,84898.99536159728,1.0
93,60672.19651498738,60672.19651498738,1.0
96,3393.224190714664,3393.224190714664,1.0
97,3373.5448166488873,3373.5448166488873,1.0
98,3350.614997161714,3350.614997161714,1.0
99,3328.721630361387,3328.721630361387,1.0
100,3295.095939125523,3295.095939125523,1.0
101,3254.570209867467,3254.570209867467,1.0
102,3206.7936407955303,3206.7936407955303,1.0
103,3141.825866100209,3141.825866100209,1.0
104,3064.69124118484,3064.69124118484,1.0
105,2973.880664925138,2973.880664925138,1.0
106,2863.6614579248853,2863.6614579248853,1.0
107,2734.5994283919804,2734.5994283919804,1.0
108,2590.2014444799815,2590.2014444799815,1.0
109,2426.4044330351894,2426.4044330351894,1.0
110,2242.736527409463,2242.736527409463,1.0
111,2040.1414154858717,2040.1414154858717,1.0
112,1824.7283483907408,1824.7283483907408,1.0
113,1593.1670984372283,1593.1670984372283,1.0
114,1351.5828379935954,1351.5828379935954,1.0
115,1101.6160240185427,1101.6160240185427,1.0
116,849.2355627091882,849.2355627091882,1.0
117,595.3078521469018,595.3078521469018,1.0
