,Reference,New,ratio
,0,0,0
data,,,
0,650975.0845523522,650975.0845523522,1.0
1,651523.4444847596,651523.4444847596,1.0
2,655959.3534059764,655959.3534059764,1.0
3,661179.3025529631,661179.3025529631,1.0
4,668341.756437071,668341.756437071,1.0
5,675848.3518709188,675848.3518709188,1.0
6,682025.4011131189,682025.4011131189,1.0
7,681240.9083076168,681240.9083076168,1.0
8,679997.60024796,679997.60024796,1.0
9,663980.6818425999,663980.6818425999,1.0
10,621459.5233225607,621459.5233225607,1.0
11,481555.0920549477,481555.0920549477,1.0
12,478313.42457131547,478313.42457131547,1.0
13,474501.2299643095,474501.2299643095,1.0
14,468013.1079243847,468013.1079243847,1.0
15,458911.1091659235,458911.1091659235,1.0
16,446322.93258704507,446322.93258704507,1.0
17,431101.0616953127,431101.0616953127,1.0
18,417018.68189715274,417018.68189715274,1.0
19,402330.55431365693,402330.55431365693,1.0
20,381553.5564277881,381553.5564277881,1.0
21,354811.08414954616,354811.08414954616,1.0
22,135608.22492823732,135608.22492823732,1.0
23,134150.54228204465,134150.54228204465,1.0
24,131263.66222407162,131263.66222407162,1.0
25,127286.54911806129,127286.54911806129,1.0
26,121342.45373376334,121342.45373376334,1.0
27,112980.22968495215,112980.22968495215,1.0
28,98740.40705529015,98740.40705529015,1.0
29,57827.446696642466,57827.446696642466,1.0
