,Reference,New,ratio
,0,0,0
data,,,
2,4623.6400615416915,4623.6400615416915,1.0
3,6186.168060399827,6186.168060399827,1.0
4,7527.757686847056,7527.757686847056,1.0
5,8549.22856938887,8549.22856938887,1.0
6,9242.10875798476,9242.10875798476,1.0
7,9534.552303053582,9534.552303053582,1.0
8,9399.872459466373,9399.872459466373,1.0
9,8810.007682939364,8810.007682939364,1.0
10,7561.245905143784,7561.245905143784,1.0
11,5890.931520826779,5890.931520826779,1.0
12,4223.013436546253,4223.013436546253,1.0
13,2733.7060342304867,2733.7060342304867,1.0
14,1556.2819983917232,1556.2819983917232,1.0
15,737.5706666832299,737.5706666832299,1.0
16,344.3461859189018,344.3461859189018,1.0
17,12.404610923310832,12.404610923310832,1.0
19,201422.15957019833,201422.15957019833,1.0
20,179706.21305069912,179706.21305069912,1.0
21,150314.50374044743,150314.50374044743,1.0
22,116478.89537320496,116478.89537320496,1.0
23,82780.13039683728,82780.13039683728,1.0
24,84248.51615483362,84248.51615483362,1.0
25,23207.009262896045,23207.009262896045,1.0
27,118309.2383244902,118309.2383244902,1.0
28,110454.42781680981,110454.42781680981,1.0
29,101634.60535834482,101634.60535834482,1.0
30,91355.16658401744,91355.16658401744,1.0
31,79268.75285884061,79268.75285884061,1.0
32,115785.77981785111,115785.77981785111,1.0
33,57756.63690787986,57756.63690787986,1.0
