,Reference,New,ratio
,0,0,0
data,,,
0,646716.6219712585,646716.6219712585,1.0
1,647514.0377769603,647514.0377769603,1.0
2,652246.3758347286,652246.3758347286,1.0
3,657802.4473215047,657802.4473215047,1.0
4,665308.3503122815,665308.3503122815,1.0
5,673214.105772586,673214.105772586,1.0
6,679662.2417296793,679662.2417296793,1.0
7,679000.8116150476,679000.8116150476,1.0
8,677761.5717806721,677761.5717806721,1.0
9,661601.2351321949,661601.2351321949,1.0
10,618686.1527239251,618686.1527239251,1.0
11,478724.8246164633,478724.8246164633,1.0
12,475526.78696119017,475526.78696119017,1.0
13,471953.20076520805,471953.20076520805,1.0
14,465819.56331161136,465819.56331161136,1.0
15,457120.6558909257,457120.6558909257,1.0
16,444980.8058700552,444980.8058700552,1.0
17,430019.4826545168,430019.4826545168,1.0
18,415997.70080548275,415997.70080548275,1.0
19,401166.94059142785,401166.94059142785,1.0
20,380000.50498839404,380000.50498839404,1.0
21,352382.7527849291,352382.7527849291,1.0
22,135252.56192973588,135252.56192973588,1.0
23,133698.59864232963,133698.59864232963,1.0
24,130850.44810815735,130850.44810815735,1.0
25,126968.34307388352,126968.34307388352,1.0
26,121104.66584996399,121104.66584996399,1.0
27,112747.0022882066,112747.0022882066,1.0
28,98408.86998875067,98408.86998875067,1.0
29,57324.02135250827,57324.02135250827,1.0
