,Reference,New,ratio
,0,0,0
data,,,
2,56683.34010811178,56683.34010811178,1.0
3,76259.92116594245,76259.92116594245,1.0
4,93543.04615901664,93543.04615901664,1.0
5,108036.08298735961,108036.08298735961,1.0
6,119733.05227072211,119733.05227072211,1.0
7,127845.40061272956,127845.40061272956,1.0
8,132474.83235947788,132474.83235947788,1.0
9,131952.04652845865,131952.04652845865,1.0
10,123534.83541794574,123534.83541794574,1.0
11,107549.96755057211,107549.96755057211,1.0
12,89171.58469292258,89171.58469292258,1.0
13,70240.83011295796,70240.83011295796,1.0
14,51820.00431331178,51820.00431331178,1.0
15,35141.93100430356,35141.93100430356,1.0
16,16083.137373863416,16083.137373863416,1.0
17,2537.9250016579567,2537.9250016579567,1.0
