LHAPDF 6.5.3 loading /usr/share/lhapdf/LHAPDF/NNPDF40_nnlo_as_01180/NNPDF40_nnlo_as_01180_0000.dat
NNPDF40_nnlo_as_01180 PDF set, member #0, version 1; LHAPDF ID = 331100
    O1 left  O1 right  O2 left  O2 right       PineAPPL        FkTable  permille_error
0       0.0       0.5     0.26      0.31  969666.114659  969536.658910       -0.133505
1       0.0       0.5     0.31      0.37  371011.533993  370955.874774       -0.150020
2       0.0       0.5     0.37      0.44  139329.183486  139305.987434       -0.166484
3       0.0       0.5     0.44      0.51   55179.457982   55170.239727       -0.167060
4       0.0       0.5     0.51      0.59   23306.476425   23302.579466       -0.167205
5       0.0       0.5     0.59      0.67   10193.978609   10192.525157       -0.142579
6       0.0       0.5     0.67      0.76    4672.991244    4672.469783       -0.111590
7       0.0       0.5     0.76      0.85    2196.605775    2196.456561       -0.067929
8       0.0       0.5     0.85      0.95    1065.767848    1065.683228       -0.079399
9       0.0       0.5     0.95      1.06     512.111204     512.049250       -0.120979
10      0.0       0.5     1.06      1.18     244.499173     244.477372       -0.089164
11      0.0       0.5     1.18      1.31     116.231382     116.219822       -0.099455
12      0.0       0.5     1.31      1.45      54.799348      54.793349       -0.109474
13      0.0       0.5     1.45      1.60      25.923940      25.921891       -0.079036
14      0.0       0.5     1.60      1.76      12.154838      12.154019       -0.067352
15      0.0       0.5     1.76      1.94       5.555875       5.555475       -0.071876
16      0.0       0.5     1.94      2.12       2.497823       2.497650       -0.069098
17      0.0       0.5     2.12      2.33       1.097226       1.097176       -0.045706
18      0.0       0.5     2.33      2.55       0.451071       0.451044       -0.059236
19      0.0       0.5     2.55      2.78       0.181082       0.181062       -0.108996
20      0.0       0.5     2.78      4.27       0.018128       0.018125       -0.155658
21      0.5       1.0     0.31      0.37  849323.585733  849190.475642       -0.156725
22      0.5       1.0     0.37      0.44  324106.988333  324058.999317       -0.148065
23      0.5       1.0     0.44      0.51  129526.904161  129506.860639       -0.154744
24      0.5       1.0     0.51      0.59   55171.408389   55163.650954       -0.140606
25      0.5       1.0     0.59      0.67   24244.309662   24240.856456       -0.142434
26      0.5       1.0     0.67      0.76   11139.520891   11138.284796       -0.110965
27      0.5       1.0     0.76      0.85    5255.170897    5254.818282       -0.067099
28      0.5       1.0     0.85      0.95    2563.408415    2563.207243       -0.078478
29      0.5       1.0     0.95      1.06    1235.009754    1234.862050       -0.119597
30      0.5       1.0     1.06      1.18     592.182370     592.130116       -0.088241
31      0.5       1.0     1.18      1.31     282.391994     282.364275       -0.098160
32      0.5       1.0     1.31      1.45     134.287013     134.272552       -0.107690
33      0.5       1.0     1.45      1.60      63.718355      63.713411       -0.077592
34      0.5       1.0     1.60      1.76      30.017432      30.015439       -0.066407
35      0.5       1.0     1.76      1.94      13.803687      13.802711       -0.070698
