LHAPDF 6.5.3 loading /usr/share/lhapdf/LHAPDF/NNPDF40_nnlo_as_01180/NNPDF40_nnlo_as_01180_0000.dat
NNPDF40_nnlo_as_01180 PDF set, member #0, version 1; LHAPDF ID = 331100
     O1 left  O1 right  O2 left  O2 right      PineAPPL       FkTable  permille_error
0        0.0       0.5     70.0      85.0  32192.923322  32188.245502       -0.145306
1        0.0       0.5     85.0     100.0  13167.125906  13164.728173       -0.182100
2        0.0       0.5    100.0     116.0   5953.797180   5952.835846       -0.161466
3        0.0       0.5    116.0     134.0   2794.494368   2794.017964       -0.170479
4        0.0       0.5    134.0     152.0   1368.840744   1368.614182       -0.165514
5        0.0       0.5    152.0     172.0    701.702635    701.568939       -0.190531
6        0.0       0.5    172.0     194.0    362.239529    362.191385       -0.132906
7        0.0       0.5    194.0     216.0    192.750618    192.726614       -0.124533
8        0.0       0.5    216.0     240.0    106.279208    106.263674       -0.146162
9        0.0       0.5    240.0     264.0     60.070854     60.061961       -0.148042
10       0.0       0.5    264.0     290.0     34.819906     34.814509       -0.154997
11       0.0       0.5    290.0     318.0     20.224187     20.221785       -0.118741
12       0.0       0.5    318.0     346.0     11.957503     11.956304       -0.100258
13       0.0       0.5    346.0     376.0      7.240022      7.239289       -0.101225
14       0.0       0.5    376.0     408.0      4.382779      4.382485       -0.067272
15       0.0       0.5    408.0     442.0      2.654929      2.654731       -0.074607
16       0.0       0.5    442.0     478.0      1.617872      1.617731       -0.087695
17       0.0       0.5    478.0     516.0      0.985554      0.985464       -0.091922
18       0.0       0.5    516.0     556.0      0.604529      0.604468       -0.100389
19       0.0       0.5    556.0     598.0      0.371345      0.371301       -0.118129
20       0.0       0.5    598.0     642.0      0.229166      0.229141       -0.110290
21       0.0       0.5    642.0     688.0      0.141969      0.141953       -0.113509
22       0.0       0.5    688.0     736.0      0.087841      0.087831       -0.115945
23       0.0       0.5    736.0     786.0      0.054669      0.054664       -0.092442
24       0.0       0.5    786.0     838.0      0.033997      0.033995       -0.085637
25       0.0       0.5    838.0     894.0      0.020977      0.020976       -0.084484
26       0.0       0.5    894.0     952.0      0.012863      0.012862       -0.078507
27       0.0       0.5    952.0    1012.0      0.007865      0.007864       -0.081752
28       0.0       0.5   1012.0    1076.0      0.004773      0.004773       -0.078703
29       0.0       0.5   1076.0    1162.0      0.002671      0.002670       -0.070749
30       0.0       0.5   1162.0    1310.0      0.001135      0.001135       -0.078806
31       0.0       0.5   1310.0    1530.0      0.000310      0.000310       -0.118655
32       0.0       0.5   1530.0    1992.0      0.000036      0.000036       -0.158632
33       0.0       0.5   1992.0    2500.0      0.000001      0.000001       -0.080027
34       0.5       1.0     70.0      85.0  30432.687122  30428.864069       -0.125623
35       0.5       1.0     85.0     100.0  12320.829845  12318.801996       -0.164587
36       0.5       1.0    100.0     116.0   5554.926615   5554.058076       -0.156355
37       0.5       1.0    116.0     134.0   2592.924910   2592.514827       -0.158155
38       0.5       1.0    134.0     152.0   1264.528517   1264.316094       -0.167986
39       0.5       1.0    152.0     172.0    645.454953    645.332910       -0.189081
40       0.5       1.0    172.0     194.0    331.168745    331.119473       -0.148782
41       0.5       1.0    194.0     216.0    175.464266    175.440102       -0.137712
42       0.5       1.0    216.0     240.0     96.267265     96.255800       -0.119098
43       0.5       1.0    240.0     264.0     54.133150     54.127158       -0.110690
44       0.5       1.0    264.0     290.0     31.243586     31.239642       -0.126243
45       0.5       1.0    290.0     318.0     18.054525     18.052363       -0.119754
46       0.5       1.0    318.0     346.0     10.632792     10.631445       -0.126740
47       0.5       1.0    346.0     376.0      6.390757      6.389969       -0.123251
48       0.5       1.0    376.0     408.0      3.840657      3.840259       -0.103593
49       0.5       1.0    408.0     442.0      2.320132      2.319971       -0.069363
50       0.5       1.0    442.0     478.0      1.391482      1.391389       -0.067121
51       0.5       1.0    478.0     516.0      0.842773      0.842684       -0.105059
52       0.5       1.0    516.0     556.0      0.511227      0.511178       -0.096201
53       0.5       1.0    556.0     598.0      0.310141      0.310119       -0.070214
54       0.5       1.0    598.0     642.0      0.188439      0.188420       -0.100130
55       0.5       1.0    642.0     688.0      0.114604      0.114594       -0.094128
56       0.5       1.0    688.0     736.0      0.069641      0.069635       -0.091704
57       0.5       1.0    736.0     786.0      0.042339      0.042336       -0.077520
58       0.5       1.0    786.0     838.0      0.025664      0.025663       -0.070681
59       0.5       1.0    838.0     894.0      0.015424      0.015423       -0.062648
60       0.5       1.0    894.0     952.0      0.009115      0.009114       -0.074694
61       0.5       1.0    952.0    1012.0      0.005373      0.005373       -0.068853
62       0.5       1.0   1012.0    1076.0      0.003122      0.003122       -0.074405
63       0.5       1.0   1076.0    1162.0      0.001655      0.001655       -0.073724
64       0.5       1.0   1162.0    1310.0      0.000644      0.000643       -0.091714
65       0.5       1.0   1310.0    1530.0      0.000149      0.000149       -0.104031
66       0.5       1.0   1530.0    2500.0      0.000006      0.000006       -0.103736
67       1.0       1.5     70.0      85.0  26794.871999  26791.481211       -0.126546
68       1.0       1.5     85.0     100.0  10791.734946  10789.880255       -0.171862
69       1.0       1.5    100.0     116.0   4835.813375   4834.974180       -0.173538
70       1.0       1.5    116.0     134.0   2223.426055   2223.090077       -0.151108
71       1.0       1.5    134.0     152.0   1075.008178   1074.841112       -0.155409
72       1.0       1.5    152.0     172.0    542.600305    542.504645       -0.176299
73       1.0       1.5    172.0     194.0    275.906108    275.867464       -0.140063
74       1.0       1.5    194.0     216.0    144.754883    144.736152       -0.129398
75       1.0       1.5    216.0     240.0     78.617387     78.606971       -0.132482
76       1.0       1.5    240.0     264.0     43.670300     43.665557       -0.108610
77       1.0       1.5    264.0     290.0     24.934401     24.931375       -0.121354
78       1.0       1.5    290.0     318.0     14.184503     14.182782       -0.121308
79       1.0       1.5    318.0     346.0      8.227269      8.226379       -0.108160
80       1.0       1.5    346.0     376.0      4.850502      4.850151       -0.072277
81       1.0       1.5    376.0     408.0      2.857291      2.857143       -0.052004
82       1.0       1.5    408.0     442.0      1.679997      1.679917       -0.047562
83       1.0       1.5    442.0     478.0      0.983648      0.983574       -0.075461
84       1.0       1.5    478.0     516.0      0.574405      0.574349       -0.097144
85       1.0       1.5    516.0     556.0      0.334744      0.334713       -0.093492
86       1.0       1.5    556.0     598.0      0.194123      0.194109       -0.071344
87       1.0       1.5    598.0     642.0      0.112044      0.112036       -0.071462
88       1.0       1.5    642.0     688.0      0.064239      0.064233       -0.091629
89       1.0       1.5    688.0     736.0      0.036597      0.036594       -0.082564
90       1.0       1.5    736.0     786.0      0.020643      0.020641       -0.083897
91       1.0       1.5    786.0     838.0      0.011512      0.011512       -0.054845
92       1.0       1.5    838.0     894.0      0.006277      0.006277       -0.047165
93       1.0       1.5    894.0     952.0      0.003342      0.003342       -0.064230
94       1.0       1.5    952.0    1012.0      0.001744      0.001744       -0.065132
95       1.0       1.5   1012.0    1076.0      0.000887      0.000887       -0.060029
96       1.0       1.5   1076.0    1162.0      0.000395      0.000395       -0.053746
97       1.0       1.5   1162.0    1310.0      0.000116      0.000116       -0.043953
98       1.0       1.5   1310.0    1992.0      0.000006      0.000006       -0.031402
99       1.5       2.0     70.0      85.0  22163.181467  22159.992919       -0.143867
100      1.5       2.0     85.0     100.0   8753.705964   8752.377193       -0.151795
101      1.5       2.0    100.0     116.0   3843.734140   3843.173804       -0.145779
102      1.5       2.0    116.0     134.0   1752.371382   1752.129856       -0.137828
103      1.5       2.0    134.0     152.0    831.037057    830.934619       -0.123265
104      1.5       2.0    152.0     172.0    414.646779    414.579578       -0.162067
105      1.5       2.0    172.0     194.0    205.879293    205.851690       -0.134073
106      1.5       2.0    194.0     216.0    106.031989    106.019008       -0.122426
107      1.5       2.0    216.0     240.0     56.111067     56.104628       -0.114756
108      1.5       2.0    240.0     264.0     30.339542     30.336438       -0.102310
109      1.5       2.0    264.0     290.0     16.661515     16.659805       -0.102642
110      1.5       2.0    290.0     318.0      9.124942      9.123754       -0.130167
111      1.5       2.0    318.0     346.0      5.045476      5.044954       -0.103488
112      1.5       2.0    346.0     376.0      2.823788      2.823526       -0.092599
113      1.5       2.0    376.0     408.0      1.560015      1.559899       -0.074007
114      1.5       2.0    408.0     442.0      0.850279      0.850206       -0.086131
115      1.5       2.0    442.0     478.0      0.457378      0.457341       -0.080874
116      1.5       2.0    478.0     516.0      0.243226      0.243202       -0.096299
117      1.5       2.0    516.0     556.0      0.125981      0.125968       -0.108187
118      1.5       2.0    556.0     598.0      0.064493      0.064487       -0.093765
119      1.5       2.0    598.0     642.0      0.032260      0.032258       -0.081761
120      1.5       2.0    642.0     688.0      0.015681      0.015680       -0.076559
121      1.5       2.0    688.0     736.0      0.007449      0.007449       -0.092986
122      1.5       2.0    736.0     786.0      0.003413      0.003412       -0.072553
123      1.5       2.0    786.0     838.0      0.001517      0.001517       -0.054389
124      1.5       2.0    838.0     894.0      0.000635      0.000635       -0.046629
125      1.5       2.0    894.0     952.0      0.000249      0.000249       -0.050522
126      1.5       2.0    952.0    1012.0      0.000091      0.000091       -0.042706
127      1.5       2.0   1012.0    1076.0      0.000031      0.000031        0.011579
128      1.5       2.0   1076.0    1310.0      0.000004      0.000004       -0.010483
129      2.0       2.5     70.0      85.0  16829.611908  16826.830520       -0.165268
130      2.0       2.5     85.0     100.0   6520.667057   6519.595601       -0.164317
131      2.0       2.5    100.0     116.0   2788.324264   2787.886747       -0.156910
132      2.0       2.5    116.0     134.0   1238.078522   1237.914136       -0.132775
133      2.0       2.5    134.0     152.0    567.389385    567.314799       -0.131455
134      2.0       2.5    152.0     172.0    272.223493    272.190866       -0.119853
135      2.0       2.5    172.0     194.0    129.043678    129.027169       -0.127934
136      2.0       2.5    194.0     216.0     62.153243     62.145547       -0.123828
137      2.0       2.5    216.0     240.0     30.767166     30.764111       -0.099299
138      2.0       2.5    240.0     264.0     15.316072     15.314453       -0.105710
139      2.0       2.5    264.0     290.0      7.618845      7.617928       -0.120302
140      2.0       2.5    290.0     318.0      3.734335      3.733907       -0.114745
141      2.0       2.5    318.0     346.0      1.809310      1.809122       -0.104277
142      2.0       2.5    346.0     376.0      0.874340      0.874234       -0.122257
143      2.0       2.5    376.0     408.0      0.405517      0.405471       -0.113742
144      2.0       2.5    408.0     442.0      0.182102      0.182086       -0.093200
145      2.0       2.5    442.0     478.0      0.077607      0.077601       -0.076921
146      2.0       2.5    478.0     516.0      0.031634      0.031631       -0.079496
147      2.0       2.5    516.0     556.0      0.012151      0.012150       -0.076696
148      2.0       2.5    556.0     598.0      0.004381      0.004381       -0.045792
149      2.0       2.5    598.0     642.0      0.001455      0.001455       -0.023522
150      2.0       2.5    642.0     688.0      0.000434      0.000434        0.055532
151      2.0       2.5    688.0     736.0      0.000115      0.000115        0.078448
152      2.0       2.5    736.0     838.0      0.000015      0.000015        0.200268
153      2.5       3.0     70.0      85.0  11523.049922  11521.208136       -0.159835
154      2.5       3.0     85.0     100.0   4269.448170   4268.913352       -0.125266
155      2.5       3.0    100.0     116.0   1734.467134   1734.253762       -0.123019
156      2.5       3.0    116.0     134.0    713.203273    713.116779       -0.121275
157      2.5       3.0    134.0     152.0    298.695661    298.663875       -0.106419
158      2.5       3.0    152.0     172.0    127.574409    127.557719       -0.130828
159      2.5       3.0    172.0     194.0     53.150234     53.144142       -0.114614
160      2.5       3.0    194.0     216.0     21.598405     21.595546       -0.132380
161      2.5       3.0    216.0     240.0      8.779880      8.778735       -0.130462
162      2.5       3.0    240.0     264.0      3.491025      3.490605       -0.120359
163      2.5       3.0    264.0     290.0      1.350837      1.350715       -0.090364
164      2.5       3.0    290.0     318.0      0.488170      0.488133       -0.075062
165      2.5       3.0    318.0     346.0      0.164652      0.164643       -0.059628
166      2.5       3.0    346.0     376.0      0.053072      0.053070       -0.043884
167      2.5       3.0    376.0     408.0      0.015124      0.015124       -0.009332
168      2.5       3.0    408.0     442.0      0.003685      0.003685        0.104877
169      2.5       3.0    442.0     478.0      0.000730      0.000730        0.127715
170      2.5       3.0    478.0     556.0      0.000057      0.000057        0.183441
Thanks for using LHAPDF 6.5.3. Please make sure to cite the paper:
  Eur.Phys.J. C75 (2015) 3, 132  (http://arxiv.org/abs/1412.7420)
