,Reference,New,ratio
,0,0,0
data,,,
45,0.9828502529983814,0.9828502529983814,1.0
46,0.9831881308599061,0.9831881308599062,0.9999999999999999
58,0.9790479587406794,0.97904795874068,0.9999999999999994
59,0.9793375445766048,0.9793375445766045,1.0000000000000004
60,0.9796605091487611,0.9796605091487464,1.000000000000015
72,0.9738618004574012,0.9738618004574006,1.0000000000000007
73,0.9740284578545948,0.974028457854596,0.9999999999999988
74,0.9742604283040069,0.9742604283040058,1.000000000000001
75,0.9745439545296936,0.974543954529691,1.0000000000000027
86,0.9673367164694906,0.9673367164694878,1.0000000000000029
87,0.9673421873605077,0.9673421873604817,1.0000000000000269
88,0.9674130101744304,0.9674130101744275,1.0000000000000029
89,0.9675456138402148,0.9675456138402128,1.000000000000002
90,0.9677066671232166,0.9677066671232144,1.0000000000000022
91,0.9678726655818464,0.9678726655818455,1.0000000000000009
101,0.9578396747702698,0.9578396747702754,0.9999999999999941
102,0.9576272208587249,0.957627220858729,0.9999999999999957
103,0.9574643105737454,0.9574643105737474,0.9999999999999979
104,0.9573627546059251,0.957362754606122,0.9999999999997944
105,0.9573195547883554,0.957319554788366,0.999999999999989
106,0.9573149753951504,0.9573149753970648,0.9999999999980003
107,0.957334686521341,0.9573346865215668,0.9999999999997641
116,0.9455272931327614,0.9455272931327944,0.9999999999999651
117,0.9450745150066032,0.9450745150066269,0.999999999999975
118,0.9446358086121451,0.9446358086121617,0.9999999999999825
119,0.9442437820610494,0.9442437820610601,0.9999999999999887
120,0.9439348829758634,0.9439348829758695,0.9999999999999936
121,0.943659123097793,0.9436591230977978,0.9999999999999949
122,0.9434208132133972,0.9434208132134003,0.9999999999999967
123,0.9432074424455418,0.9432074424455438,0.9999999999999979
131,0.9336742638880626,0.9336742638881315,0.9999999999999263
132,0.9330188224938348,0.9330188224938846,0.9999999999999467
133,0.9323291571492242,0.9323291571492582,0.9999999999999635
134,0.9316705883457036,0.9316705883457266,0.9999999999999754
135,0.931118735708658,0.9311187357086734,0.9999999999999835
136,0.9305818086157126,0.9305818086157226,0.9999999999999892
137,0.930080349278476,0.9300803492784827,0.9999999999999928
138,0.9296194039446277,0.9296194039446318,0.9999999999999956
139,0.9292125461638481,0.9292125461638508,0.999999999999997
146,0.9223196483091965,0.9223196483093158,0.9999999999998708
147,0.9214773185617092,0.9214773185617953,0.9999999999999066
148,0.9205700173119818,0.9205700173120406,0.9999999999999362
149,0.9196641390718091,0.9196641390718483,0.9999999999999574
150,0.918888380235402,0.9188883802354284,0.9999999999999712
151,0.9181157053976845,0.9181157053977019,0.999999999999981
152,0.917374287016708,0.91737428701672,0.9999999999999869
153,0.9166762618331199,0.9166762618331278,0.9999999999999915
154,0.9160517732334613,0.9160517732334661,0.9999999999999948
155,0.9155576068783108,0.9155576068783137,0.9999999999999969
161,0.9061223239837016,0.9061223239839266,0.9999999999997518
162,0.9050295508865732,0.9050295508867356,0.9999999999998205
163,0.9038339498431598,0.9038339498432716,0.9999999999998763
164,0.9026078700269733,0.9026078700270482,0.999999999999917
165,0.9015422091561374,0.9015422091561885,0.9999999999999433
166,0.9004719193493862,0.9004719193494203,0.9999999999999621
167,0.8994257584930501,0.8994257584930719,0.9999999999999757
168,0.8984448935163765,0.8984448935163909,0.9999999999999839
169,0.8975779807376768,0.8975779807376858,0.99999999999999
170,0.8967686927519984,0.8967686927520048,0.9999999999999929
175,0.8858915175611517,0.8858915175615757,0.9999999999995214
176,0.8844711850617897,0.8844711850620958,0.9999999999996539
